SOC,OCV_sam1_0degC,OCV_sam1_25degC,OCV_sam1_45degC,OCV_sam2_0degC,OCV_sam2_25degC,OCV_sam2_45degC
0.38,3.63421382324674,3.6181804478636175,3.631677585442536,3.6272054821168447,3.627376441848268,3.6337638313486846
0.39,3.6373799938118685,3.620490659506185,3.6341490789592203,3.630064084953456,3.6301883339469936,3.63652177017856
0.4,3.6406524039972328,3.6228182295175344,3.636620622174133,3.633040873784024,3.6330094427875226,3.6393099992753695
0.41000000000000003,3.6440293202308034,3.625181303878252,3.6391206253902264,3.6361649042039197,3.6358414500823635,3.6421438563473343
0.42,3.647532840522027,3.6276134366917487,3.6417150988838243,3.639465231808514,3.6387110843240023,3.6450624673284295
0.43,3.6512212478634187,3.6301493343418914,3.644481896007406,3.642970912193179,3.6416857042811737,3.6481334345118483
0.44,3.6551580570077618,3.6328237032125474,3.647498878109031,3.6467110009532853,3.6448459856321738,3.651427247913946
0.45,3.659406782707839,3.6356712496875865,3.6508439065367577,3.6507145536842045,3.6482726199440254,3.6550143975510787
0.46,3.664030939716434,3.638726680150874,3.654594842638647,3.6550106259813084,3.6520462987837488,3.658965373439602
0.47000000000000003,3.6690940427863294,3.6420247009862807,3.6588295477627573,3.6596310363389337,3.656247713718366,3.6633506655958747
0.48,3.67465960667031,3.6456000185776722,3.663625883257147,3.66463539053037,3.660957556314899,3.6682407640362515
0.49,3.6807911461211567,3.6494901259461647,3.6690617104698764,3.6700909524090055,3.666256518140369,3.673706158777089
0.5,3.687552175891655,3.653753027843971,3.67521488973297,3.676013111591884,3.672225273945127,3.6798173398347434
0.51,3.69499540662631,3.658423003438201,3.6821307203716995,3.682397346040596,3.6789259018540044,3.686631602726676
0.52,3.7030977957589597,3.66347932703271,3.689732307998093,3.6892390936478696,3.6863561563889213,3.694125478153282
0.53,3.711758279230059,3.668896106389052,3.697914000399665,3.696533792306429,3.6944361942976176,3.702208206938575
0.54,3.7208676621549803,3.674647449268781,3.7065701453639326,3.7042768799090027,3.70305845057852,3.71078306069408
0.55,3.7303167496490977,3.680707463433448,3.715595090678408,3.7124637943483174,3.712115277392731,3.7197533110313232
0.56,3.7399963468277835,3.6870502566446053,3.724883184130608,3.721088752829549,3.7214990269013546,3.729022229561832
0.5700000000000001,3.749797258806412,3.6936499366638076,3.7343287735080475,3.730100035810505,3.7311020512654904,3.7384930878971314
0.58,3.759610290700355,3.7004806112526065,3.743826206598241,3.7393871136287307,3.740816702646243,3.7480691576487484
0.59,3.769326247624986,3.7075163881725546,3.7532698311887054,3.7488368744152556,3.7505353332047138,3.7576537104282086
0.6,3.778835934695678,3.7147315799938188,3.762554078915673,3.75836745271347,3.7601503025561085,3.7671500178470376
0.61,3.7880416687918066,3.722115827875527,3.771607722022334,3.76792950804769,3.769569388741901,3.776472887975024
0.62,3.7969252842973535,3.729665447321618,3.7804610051341543,3.7774752183007343,3.7787550103147804,3.7856057357792685
0.63,3.8055372855185876,3.737371070225067,3.789164156613597,3.7869567613554183,3.7877316968320818,3.794586545039054
