SOC,OCV_sam1_0degC,OCV_sam2_0degC,OCV_sam2_25degC
0.91,4.059978485107422,4.062409400939941,4.064787504695372
0.92,4.071283923956823,4.074537307696452,4.076808747152389
0.93,4.083512589569564,4.086526502876649,4.089138624745029
0.9400000000000001,4.096139975500231,4.0988745340016886,4.1013689041137695
0.9500000000000001,4.109126026670527,4.111253843606045,4.114072322845459
0.96,4.121838168632856,4.124478578567505,4.127076571373161
0.97,4.134826311704667,4.137848615646362,4.140091617595869
0.98,4.148881327482618,4.151137590408325,4.15372109413147
0.99,4.162862898687861,4.165193031190109,4.167605305270541
1.0,4.181929111480713,4.183711767196655,4.183497905731201
